case,T,C,aipdi,geometric,p05,p95,single_provider_concentration,no_abstraction_layer,prompt_tool_nonportability,finetuning_lockin,data_embeddings_lockin,no_open_weight_fallback,sla_criticality,ai_share_of_value,weak_moat,margin_exposure,sherlocking_exposure,contractual_lockin
Jasper (2022 config),34.0,40.5,74.5,83.5,71,78,0.9,0.8,0.5,0.4,0.4,0.9,0.8,0.95,0.9,0.6,0.95,0.3
"Windsurf (pre-cutoff, May 2025)",26.3,37.6,63.9,71.5,61,67,0.7,0.4,0.6,0.2,0.3,0.5,0.9,0.9,0.6,0.7,0.9,0.5
"Harvey (pre, OpenAI-only)",36.1,27.1,63.2,69.4,61,66,0.9,0.6,0.6,0.8,0.5,0.8,0.8,0.85,0.35,0.5,0.4,0.5
"Harvey (post, multi-model)",22.9,25.5,48.5,53.0,46,51,0.45,0.3,0.4,0.5,0.4,0.6,0.6,0.85,0.3,0.5,0.35,0.4
Cursor (early 2026),18.2,37.5,55.7,68.1,53,59,0.55,0.2,0.4,0.1,0.2,0.3,0.7,0.95,0.5,0.85,0.85,0.4
